Franchise,id,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,Atlanta Hawks,NBA,1950,2016,67,5306,2650,2656,0.499,45,11,0,1
Atlanta Hawks,Atlanta Hawks,NBA,1969,2016,48,3888,1952,1936,0.502,32,5,0,0
St. Louis Hawks,Atlanta Hawks,NBA,1956,1968,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,Atlanta Hawks,NBA,1952,1955,4,281,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,Atlanta Hawks,NBA,1950,1951,2,132,54,78,0.409,1,0,0,0
Boston Celtics,Boston Celtics,NBA/BAA,1947,2016,70,5478,3221,2257,0.588,53,30,9,17
Brooklyn Nets,Brooklyn Nets,NBA/ABA,1968,2016,49,3976,1734,2242,0.436,26,5,2,2
Brooklyn Nets,Brooklyn Nets,NBA,2013,2016,4,328,152,176,0.463,3,0,,
New Jersey Nets,New Jersey Nets,NBA,1978,2012,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,New Jersey Nets,NBA,1977,1977,1,82,22,60,0.268,0,0,0,0
New York Nets,New Jersey Nets,ABA,1969,1976,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,New Jersey Nets,ABA,1968,1968,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets,Charlotte Hornets,NBA,1989,2016,26,2084,916,1168,0.44,10,0,0,0
Charlotte Hornets,Charlotte Hornets,NBA,2015,2016,2,164,81,83,0.494,1,0,,
Charlotte Bobcats,Charlotte Hornets,NBA,2005,2014,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets,Charlotte Hornets,NBA,1989,2002,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,Chicago Bulls,NBA,1967,2016,50,4051,2115,1936,0.522,34,9,6,6
Cleveland Cavaliers,Cleveland Cavaliers,NBA,1971,2016,46,3724,1728,1996,0.464,20,5,2,0
Dallas Mavericks,Dallas Mavericks,NBA,1981,2016,36,2904,1482,1422,0.51,21,3,2,1
Denver Nuggets,Denver Nuggets,NBA/ABA,1968,2016,49,3976,1976,2000,0.497,33,10,0,0
Denver Nuggets,Denver Nuggets,NBA,1977,2016,40,3232,1563,1669,0.484,24,7,0,0
Denver Nuggets,Denver Nuggets,ABA,1975,1976,2,168,125,43,0.744,2,2,0,0
Denver Rockets,Denver Nuggets,ABA,1968,1974,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,Detroit Pistons,NBA/BAA,1949,2016,68,5368,2616,2752,0.487,41,11,5,3
Detroit Pistons,Detroit Pistons,NBA,1958,2016,59,4749,2303,2446,0.485,33,9,5,3
Fort Wayne Pistons,Fort Wayne Pistons,NBA/BAA,1949,1957,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,Golden State Warriors,NBA/BAA,1947,2016,70,5474,2590,2884,0.473,32,9,2,4
